DateID,Date,Year,Month,Day,Quarter
1,2020-01-01,2020,1,1,1
2,2020-01-02,2020,1,2,1
3,2020-01-03,2020,1,3,1
4,2020-01-04,2020,1,4,1
5,2020-01-05,2020,1,5,1
6,2020-01-06,2020,1,6,1
7,2020-01-07,2020,1,7,1
8,2020-01-08,2020,1,8,1
9,2020-01-09,2020,1,9,1
10,2020-01-10,2020,1,10,1
11,2020-01-11,2020,1,11,1
12,2020-01-12,2020,1,12,1
13,2020-01-13,2020,1,13,1
14,2020-01-14,2020,1,14,1
15,2020-01-15,2020,1,15,1
16,2020-01-16,2020,1,16,1
17,2020-01-17,2020,1,17,1
18,2020-01-18,2020,1,18,1
19,2020-01-19,2020,1,19,1
20,2020-01-20,2020,1,20,1
21,2020-01-21,2020,1,21,1
22,2020-01-22,2020,1,22,1
23,2020-01-23,2020,1,23,1
24,2020-01-24,2020,1,24,1
25,2020-01-25,2020,1,25,1
26,2020-01-26,2020,1,26,1
27,2020-01-27,2020,1,27,1
28,2020-01-28,2020,1,28,1
29,2020-01-29,2020,1,29,1
30,2020-01-30,2020,1,30,1
31,2020-01-31,2020,1,31,1
32,2020-02-01,2020,2,1,1
33,2020-02-02,2020,2,2,1
34,2020-02-03,2020,2,3,1
35,2020-02-04,2020,2,4,1
36,2020-02-05,2020,2,5,1
37,2020-02-06,2020,2,6,1
38,2020-02-07,2020,2,7,1
39,2020-02-08,2020,2,8,1
40,2020-02-09,2020,2,9,1
41,2020-02-10,2020,2,10,1
42,2020-02-11,2020,2,11,1
43,2020-02-12,2020,2,12,1
44,2020-02-13,2020,2,13,1
45,2020-02-14,2020,2,14,1
46,2020-02-15,2020,2,15,1
47,2020-02-16,2020,2,16,1
48,2020-02-17,2020,2,17,1
49,2020-02-18,2020,2,18,1
50,2020-02-19,2020,2,19,1
51,2020-02-20,2020,2,20,1
52,2020-02-21,2020,2,21,1
53,2020-02-22,2020,2,22,1
54,2020-02-23,2020,2,23,1
55,2020-02-24,2020,2,24,1
56,2020-02-25,2020,2,25,1
57,2020-02-26,2020,2,26,1
58,2020-02-27,2020,2,27,1
59,2020-02-28,2020,2,28,1
60,2020-02-29,2020,2,29,1
61,2020-03-01,2020,3,1,1
62,2020-03-02,2020,3,2,1
63,2020-03-03,2020,3,3,1
64,2020-03-04,2020,3,4,1
65,2020-03-05,2020,3,5,1
66,2020-03-06,2020,3,6,1
67,2020-03-07,2020,3,7,1
68,2020-03-08,2020,3,8,1
69,2020-03-09,2020,3,9,1
70,2020-03-10,2020,3,10,1
71,2020-03-11,2020,3,11,1
72,2020-03-12,2020,3,12,1
73,2020-03-13,2020,3,13,1
74,2020-03-14,2020,3,14,1
75,2020-03-15,2020,3,15,1
76,2020-03-16,2020,3,16,1
77,2020-03-17,2020,3,17,1
78,2020-03-18,2020,3,18,1
79,2020-03-19,2020,3,19,1
80,2020-03-20,2020,3,20,1
81,2020-03-21,2020,3,21,1
82,2020-03-22,2020,3,22,1
83,2020-03-23,2020,3,23,1
84,2020-03-24,2020,3,24,1
85,2020-03-25,2020,3,25,1
86,2020-03-26,2020,3,26,1
87,2020-03-27,2020,3,27,1
88,2020-03-28,2020,3,28,1
89,2020-03-29,2020,3,29,1
90,2020-03-30,2020,3,30,1
91,2020-03-31,2020,3,31,1
92,2020-04-01,2020,4,1,2
93,2020-04-02,2020,4,2,2
94,2020-04-03,2020,4,3,2
95,2020-04-04,2020,4,4,2
96,2020-04-05,2020,4,5,2
97,2020-04-06,2020,4,6,2
98,2020-04-07,2020,4,7,2
99,2020-04-08,2020,4,8,2
100,2020-04-09,2020,4,9,2
101,2020-04-10,2020,4,10,2
102,2020-04-11,2020,4,11,2
103,2020-04-12,2020,4,12,2
104,2020-04-13,2020,4,13,2
105,2020-04-14,2020,4,14,2
106,2020-04-15,2020,4,15,2
107,2020-04-16,2020,4,16,2
108,2020-04-17,2020,4,17,2
109,2020-04-18,2020,4,18,2
110,2020-04-19,2020,4,19,2
111,2020-04-20,2020,4,20,2
112,2020-04-21,2020,4,21,2
113,2020-04-22,2020,4,22,2
114,2020-04-23,2020,4,23,2
115,2020-04-24,2020,4,24,2
116,2020-04-25,2020,4,25,2
117,2020-04-26,2020,4,26,2
118,2020-04-27,2020,4,27,2
119,2020-04-28,2020,4,28,2
120,2020-04-29,2020,4,29,2
121,2020-04-30,2020,4,30,2
122,2020-05-01,2020,5,1,2
123,2020-05-02,2020,5,2,2
124,2020-05-03,2020,5,3,2
125,2020-05-04,2020,5,4,2
126,2020-05-05,2020,5,5,2
127,2020-05-06,2020,5,6,2
128,2020-05-07,2020,5,7,2
129,2020-05-08,2020,5,8,2
130,2020-05-09,2020,5,9,2
131,2020-05-10,2020,5,10,2
132,2020-05-11,2020,5,11,2
133,2020-05-12,2020,5,12,2
134,2020-05-13,2020,5,13,2
135,2020-05-14,2020,5,14,2
136,2020-05-15,2020,5,15,2
137,2020-05-16,2020,5,16,2
138,2020-05-17,2020,5,17,2
139,2020-05-18,2020,5,18,2
140,2020-05-19,2020,5,19,2
141,2020-05-20,2020,5,20,2
142,2020-05-21,2020,5,21,2
143,2020-05-22,2020,5,22,2
144,2020-05-23,2020,5,23,2
145,2020-05-24,2020,5,24,2
146,2020-05-25,2020,5,25,2
147,2020-05-26,2020,5,26,2
148,2020-05-27,2020,5,27,2
149,2020-05-28,2020,5,28,2
150,2020-05-29,2020,5,29,2
